,SYMBOL
1751,E2:MV4.SI
1752,E2:P30.SI
1753,E2:T12.SI
1754,E2:T19.SI
1755,E2:T20.SI
1757,E2:V03.SI
1759,E1:I85.SI
1760,E1:L6T.SI
1762,E1:R07.SI
1763,E1:N6H.SI
1764,E1:M1GU.SI
1765,E1:T03.SI
1767,E1:S10.SI
1769,E1:K03.SI
1773,E1:T55.SI
1774,E1:S51.SI
1775,E1:T12.SI
1778,E1:5TJ.SI
1780,E1:B3C.SI
1781,E1:E6A.SI
1783,E1:G1M.SI
1784,E1:I15.SI
1786,E1:B28.SI
1787,E1:G18.SI
1790,E1:AK3.SI
1793,E1:H73.SI
1795,E1:E25.SI
1797,E1:F25U.SI
1798,E2:543.SI
1799,E2:566.SI
1800,E2:5KU.SI
1801,E2:5VT.SI
1802,E2:A26.SI
1803,E2:5FD.SI
1805,E2:5TJ.SI
1806,E2:D8DU.SI
1807,E2:B66.SI
1808,E2:5DW.SI
1810,E2:5HG.SI
1811,E2:5TN.SI
1812,E2:A27.SI
1816,E2:CX5.SI
1818,E2:C9Q.SI
1822,E2:K01.SI
1824,E2:N0L.SI
1825,E2:NR7.SI
1826,E2:MR8.SI
1827,E2:P31.SI
1829,E2:H30.SI
1830,E2:F25U.SI
1831,E2:I07.SI
1832,E2:JK8.SI
1836,E2:NS8U.SI
1841,E1:ACV.SI
1843,E1:5IG.SI
1844,E1:5ME.SI
1845,E1:5FX.SI
1847,E1:B49.SI
1849,5QZ.SI
1850,E1:AAJ.SI
1851,E1:U5S.SI
1860,E2:C41.SI
1862,E2:F99.SI
1863,E2:H18.SI
1865,E2:I98.SI
1866,E2:M03.SI
1867,E2:I15.SI
1869,E2:FV2.SI
1872,E2:FQ7.SI
1873,E2:DM0.SI
1875,E2:L18.SI
1876,E2:K1Q.SI
1877,E2:MC7.SI
1878,E2:T4B.SI
1879,EB7.SI
1880,E2:40D.SI
1881,E1:C4P.SI
1882,5FR.SI
1883,E2:5H5R.SI
1884,E1:5TT.SI
1885,E1:574.SI
1886,E1:543.SI
1887,E1:5DN.SI
1888,E2:T8JU.SI
1890,U19.SI
1891,E1:586.SI
1893,TM4.SI
1894,E1:5LE.SI
1895,E1:557.SI
1896,E1:568.SI
1897,E1:5ER.SI
1899,E2:T03.SI
1900,E8Z.SI
1901,E2:5H8.SI
1903,R07.SI
1904,E1:5I7R.SI
1905,5VU.SI
1908,E2:Y92.SI
1909,E6A.SI
1910,E2:U0BR.SI
1911,578.SI
1913,U04.SI
1914,E1:5AE.SI
1916,E2:G31.SI
1917,E2:I4U.SI
1922,E1:MS7.SI
1923,E1:LG2U.SI
1924,E1:H27.SI
1925,E1:O9P.SI
1931,E1:L05.SI
1932,E1:H22.SI
1933,E1:M11.SI
1935,E1:IX2.SI
1938,E1:5TN.SI
1958,E2:C04.SI
1959,E2:B2F.SI
1960,E2:E28.SI
1962,E2:G10.SI
1963,E2:L02.SI
1965,E2:KI3.SI
1966,E2:M01.SI
1967,E2:M9F.SI
1968,E2:A15.SI
1969,E2:C50.SI
1971,E2:G4F.SI
1972,E2:IW5.SI
1974,E2:K2LU.SI
1977,E2:Q0X.SI
1979,E2:QS9.SI
1980,E2:Z59.SI
1983,NI3.SI
1984,U7E.SI
1985,E2:K17.SI
1986,E2:ER0.SI
1988,E2:O23.SI
1989,E2:SK3.SI
1990,E2:S71.SI
1991,EG0.SI
1993,E1:5G9.SI
2001,E2:5CS.SI
2002,E2:564.SI
2004,E1:SK3.SI
